"district","rps01","rps02","rps03","rps04","rps05","rps06","rps07","rps08","rps09","rps10","rps11","rps12","rps13","rps14","rps15","rps16","rps17","rps18","rps19","rps20","rps21","rps22","rps23","rps24","rps25","rps26","rps27","rps28","rps29","rps30","rps31"
"三峽區","房地(土地+建物)","新北市三峽區永安街６８號四樓","34.75","住","","","1120212","土地1建物1車位0","四層","四層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","750829","100.7","3","1","1","無","無","7600000","75472","","0","0","頂樓加蓋；","RPQNMLRJLHIGFIF68EA","88.46","0","12.24","無"
"三峽區","房地(土地+建物)","新北市三峽區民權街２００號六樓之四","14.32","住","","","1120213","土地1建物1車位0","六層","十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","860508","129.21","4","2","2","無","有","10400000","80489","","0","0","","RPOOMLRJLHIGFIF48DA","101.82","0","9.13","有"
"三峽區","房地(土地+建物)","新北市三峽區民權街１７０巷４６號四樓","11.14","住","","","1120222","土地1建物1車位0","四層","八層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","1040908","48.45","2","2","1","無","有","2500000","51600","","0","0","親友、員工、共有人或其他特殊關係間之交易；","RPOOMLNJLHIGFIF08DA","29.66","0","3.6","有"
"三峽區","房地(土地+建物)","新北市三峽區復興路７號十一樓之三","4.16","都市：其他:住宅區","","","1120117","土地2建物1車位0","十一層","十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","910801","40.47","1","0","1","無","有","5100000","126019","","0","0","","RPPOMLSKKHIGFIF68DA","28.02","0","2.51","有"
"三峽區","房地(土地+建物)+車位","新北市三峽區大學路４５之１號六樓","20.15","住","","","1120116","土地1建物1車位1","六層","十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","941017","155.27","3","2","2","無","有","17500000","130538","坡道平面","32.7","1500000","陽台外推；","RPQNMLOLKHIGFIF48EA","82.46","1.25","8.33","有"
"三峽區","房地(土地+建物)+車位","新北市三峽區安溪路３０９巷２５號","35.36","商","","","1120112","土地2建物2車位2","一層，騎樓","九層","華廈(10層含以下有電梯)","商業用","鋼筋混凝土造","840913","247.79","0","0","0","有","無","21500000","86767","坡道機械","0","0","內梯增建其他增建；","RPXNMLQKKHIGFIF56DA","188","0","7.07","有"
"三峽區","房地(土地+建物)","新北市三峽區大德路２０號六樓之二","10.34","住","","","1120112","土地1建物1車位0","六層","十四層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","950316","62.77","1","1","1","無","有","8330000","132707","","0","0","","RPXNMLSKKHIGFIF76DA","42.16","0.64","4.32","有"
"三峽區","房地(土地+建物)+車位","新北市三峽區弘園街３０號七樓","29.58","住","","","1120113","土地1建物1車位1","七層","十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1050721","150.77","3","2","2","有","有","14600000","101700","坡道平面","21.96","1500000","","RPXOMLLJKHIGFIF68DA","78.51","2.51","8.37","有"
"三峽區","房地(土地+建物)+車位","新北市三峽區國光街４３巷７號八樓","23.24","住","","","1120103","土地2建物1車位1","八層","十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","801028","171.51","4","2","2","無","有","14500000","84543","坡道平面","0","0","","RPSNMLOLKHIGFIF58DA","113.39","0","11.25","有"
"三峽區","房地(土地+建物)+車位","新北市三峽區弘園街３０號八樓之一","29.3","住","","","1120115","土地1建物1車位1","八層","十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1050721","149.58","3","2","2","無","有","13950000","93261","坡道平面","21.96","0","","RPROMLNJLHIGFIF38DA","77.68","2.58","8.37","有"
"三峽區","房地(土地+建物)+車位","新北市三峽區大學路３９之７號十樓","11.04","住","","","1120119","土地1建物1車位1","十層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","941017","105.29","2","2","1","有","有","11000000","130872","坡道平面","32.7","1500000","陽台外推；","RPTPMLTJKHIGFIF56DA","45.05","0","5.47","有"
"三峽區","土地","劉厝埔段174地號","5.78","","一般農業區","甲種建築用地","1120118","土地1建物0車位0","","","其他","","","","0","0","0","0","無","無","268800","46505","","0","0","親友、員工、共有人或其他特殊關係間之交易；","RPPOMLQJLHIGFIF48DA","0","0","0","無"
"三峽區","房地(土地+建物)+車位","新北市三峽區國慶路１５６號十樓之五","15.53","住","","","1120128","土地1建物1車位1","十層","十五層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","951208","122.98","2","2","1","無","有","13280000","140326","坡道平面","38.32","1400000","","RPQOMLQJLHIGFIF58DA","54.76","0","6.01","有"
"三峽區","土地","白雞段紫微小段416-7地號","14336","","山坡地保育區","林業用地","1111231","土地10建物0車位0","","","其他","","","","0","0","0","0","無","無","19500000","1360","","0","0","","RPSNMLMLKHIGFIF38DA","0","0","0","無"
"三峽區","房地(土地+建物)","新北市三峽區民族街２８巷８號二樓","13.99","住","","","1111230","土地1建物1車位0","二層","六層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","830627","69.12","2","1","1","有","有","5050000","73061","","0","0","","RPWNMLPJJHIGFIF78DA","54.74","0.63","1.53","有"
"三峽區","土地","成福段成福小段818-12地號","1114.34","","山坡地保育區","丁種建築用地","1111121","土地2建物0車位0","","","其他","","","","0","0","0","0","有","無","70788900","63525","","0","0","","RPPNMLLLJIHGFIF87DA","0","0","0","無"
"三峽區","土地","正義段487地號","1652.35","","一般農業區","農牧用地","1110921","土地5建物0車位0","","","其他","","","","0","0","0","0","有","無","33500000","20274","","0","0","未登記建物；","RPXNMLLJJIHGFIF48DA","0","0","0","無"
"三峽區","土地","麻園段216地號","17.67","","一般農業區","甲種建築用地","1120302","土地2建物0車位0","","","其他","","","","0","0","0","0","無","無","320000","18110","","0","0","親友、員工、共有人或其他特殊關係間之交易；","RPTNMLNKLHIGFIF68EA","0","0","0","無"
"三峽區","房地(土地+建物)","新北市三峽區介壽路三段２００巷２弄４號三樓","46.75","","山坡地保育區","丙種建築用地","1120221","土地1建物1車位0","三層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","830608","109.36","3","2","2","無","無","3000000","27432","","0","0","1.本建物有含法定車位，但屬定期抽籤使用2.土地增值稅及相關費用皆由買方承擔親友、員工、共有人或其他特殊關係間之交易；","RPTOMLLLKHIGFIF48DA","70.04","0","7.61","無"
"三峽區","房地(土地+建物)+車位","新北市三峽區長泰街４０巷５號","109.68","都市：其他:道路用地","","","1120205","土地2建物1車位1","一層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","840527","136.8","3","2","2","無","有","16200000","118421","坡道平面","0","0","其他增建；","RPROMLLJLHIGFIF18DA","100.21","10.44","0","有"
"三峽區","土地","大學段一小段143地號","46.96","住","","","1120223","土地1建物0車位0","","","其他","","","","0","0","0","0","無","無","11363480","241982","","0","0","","RPRNMLSJLHIGFIF78DA","0","0","0","無"
